route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
820070,20161611multiint-0000001,47333295-20161611multiint-0000001,"Place D'Youville / Vieux-Québec (Est)",,0,,00700634,2
820070,20161611multiint-0000001,47333321-20161611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,00700581,2
820070,20161611multiint-0000001,47333247-20161611multiint-0000001,"Place D'Youville / Vieux-Québec (Est)",,0,,00700634,2
820070,20161611multiint-0000001,47333327-20161611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,00700581,2
820130,20161611multiint-0000001,47334995-20161611multiint-0000001,"Du Versant-Nord/Sainte-Foy Centre/Saint-Louis (Ouest)",,1,,01300366,2
820130,20161611multiint-0000001,47334992-20161611multiint-0000001,"Saint-Louis/Sainte-Foy Centre/du Versant-Nord (Est)",,0,,01300369,2
820130,20161611multiint-0000001,47334996-20161611multiint-0000001,"Du Versant-Nord/Sainte-Foy Centre/Saint-Louis (Ouest)",,1,,01300366,2
820130,20161611multiint-0000001,47334993-20161611multiint-0000001,"Saint-Louis/Sainte-Foy Centre/du Versant-Nord (Est)",,0,,01300369,2
820010,20161611multiint-0000001,47334457-20161611multiint-0000001,"Station Belvédère (Nord)",,0,,00100326,2
820500,20161611multiint-0000001,47334821-20161611multiint-0000001,"Boischatel (Est)",,0,,05000177,2
820500,20161611multiint-0000001,47334832-20161611multiint-0000001,"Terminus La Cimenterie (Ouest)",,1,,05000187,2
820500,20161611multiint-0000001,47334820-20161611multiint-0000001,"Boischatel (Est)",,0,,05000177,2
820500,20161611multiint-0000001,47334833-20161611multiint-0000001,"Terminus La Cimenterie (Ouest)",,1,,05000187,2
820500,20161611multiint-0000001,47334825-20161611multiint-0000001,"Boischatel (Est)",,0,,05000177,2
820500,20161611multiint-0000001,47334834-20161611multiint-0000001,"Terminus La Cimenterie (Ouest)",,1,,05000187,2
820530,20161611multiint-0000001,47335161-20161611multiint-0000001,"Montmorency / Courville (Est)",,0,,05300214,2
820250,20161611multiint-0000001,47334573-20161611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,02500314,2
